source,review_text,rating
twitter_airline,@VirginAmerica I didn't today... Must mean I need to take another trip!,
twitter_airline,@VirginAmerica plus you've added commercials to the experience... tacky.,
amazon,Excellent!  The best!  I use it with my beef and broccoli and to throw in chicken and rice soup. It’s also great by itself. Yum!,5.0
yelp,"Amazingly amazing wings and homemade bleu cheese. Had the ribeye: tender, perfectly prepared, delicious. Nice selection of craft beers. Would DEFINITELY recommend checking out this hidden gem.",5.0
amazon,This is an excellent white tea and the jasmine is wonderful.,5.0
yelp,"Wow!  Yummy, different,  delicious.   Our favorite is the lamb curry and korma.  With 10 different kinds of naan!!!  Don't let the outside deter you (because we almost changed our minds)...go in and try something new!   You'll be glad you did!",5.0
twitter_airline,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",
yelp,"Family diner. Had the buffet. Eclectic assortment: a large chicken leg, fried jalapeño, tamale, two rolled grape leaves, fresh melon. All good. Lots of Mexican choices there. Also has a menu with breakfast served all day long. Friendly, attentive staff. Good place for a casual relaxed meal with no expectations. Next to the Clarion Hotel.",3.0
yelp,"Locals recommended Milktooth, and it's an amazing jewel of Indianapolis. I'm glade I had the chance to experience this.",4.0
twitter_airline,@VirginAmerica and it's a really big bad thing about it,
amazon,"This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",4.0
yelp,Love going here for happy hour or dinner!  Great patio with fans to beat the StL heat!   Also...very accomodating at this location.  I like the Veal Milanese but with mixed greens instead of pasta!  they'll modify the menu to suit your taste!,4.0
amazon,The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,4.0
twitter_airline,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",
twitter_airline,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",
yelp,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!,1.0
amazon,"This spray is really nice. It smells really good, goes on really fine, and does the trick. I will say it feels like you need a lot of it though to get the texture I want. I have a lot of hair, medium thickness. I am comparing to other brands with yucky chemicals so I'm gonna stick with this. Try it!",5.0
amazon,Excellent!! Yummy!  Great with other foods and great alone.,5.0
