review_id,platform,review_text,rating,sentiment_label
B072M3LY82_24664,amazon,Not my favorite. Not what I expected. They are very small bags and very salty. They do not taste that great,2.0,negative
B07ZJKVVLW_48520,amazon,"Hardly  able to see. I did not like this product at all.  It barely makes any marks on my eyebrow.  I ordered dark brown and when I use it I can barely see anything.  So unfortunately, I do not use it",1.0,negative
568214651336396801,twitter_airline,@JetBlue Statement on #Lufthansa Incentive Offer - Digital Journal http://t.co/GqP69g9ZGW,3.0,neutral
B07VZTD32F_89844,amazon,Fun size. Well packaged in transit. Fun 2 flavors and cute size that work well for gifting,5.0,positive
B07146D5RT_57869,amazon,"Well made. For me, it was a bit too large, however I kept it.  It is very well made",3.0,neutral
oufx329xI47T656hguSBVA,yelp,Waited 80 minutes for just an ok milkshake. They seem to have their operations incorrect. Many staff prepping and only one person decorating who kept looking at the ingredient list. Unfortunately we were truly let down. Staff were nice.,1.0,negative
6RGaOc0a7anGUYB65LUbNw,yelp,Great find on an overnight to Tucson.  Breakfast was delicious and it looks like the area will continue to grow bringing n more independent businesses.,4.0,positive
uYev9JK9LuvNQYuM9_J62w,yelp,The food is great but a bit overpriced. They have absolutely no since of urgency. It took a woman 10 minutes to make one sandwich!!! She moved like a sloth. Be sure to give yourself plenty of time if you order fresh food.,3.0,neutral
568785504004497408,twitter_airline,@USAirways big thanks to Yvonne Anthony from the Chairman's desk.  Top tier customer service today.  #outstanding #service &amp; #support.,5.0,positive
B07PDHSLM6_6646,amazon,"Fine, but could be better. Okay - the voice recognition on this model sucks imo",3.0,neutral
567729246198837248,twitter_airline,@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15,3.0,neutral
3won-DAPVYqgOhcTTpNjyQ,yelp,This place is highly recommended the food is delicious adovada tacos are very good this food is wonderful,5.0,positive
B01J4HCBZG_53943,amazon,"Super Little Unit, Sounds GREAT. All I can say about this unit is ITS BOOM-N.<br />Sounds GREAT.<br />Recommended",5.0,positive
7r-FwJ_cqPpjOLFjVNN6SQ,yelp,"Wow.  How do you screw up a finner salad.  Managers response to wilted brown lettuce.   ""Thats how it all is"" 46.00 for two sad dinners.  We could have had a good meal for that.  This location sucks.",1.0,negative
569630229636853761,twitter_airline,@AmericanAir she should not only get a refund but also an apology for the deplorable service.,1.0,negative
568849058523033601,twitter_airline,@SouthwestAir  Please Help. We really want to fly with you. #guessweflyingdelta,5.0,positive
wkqf10BnuCDFPw9jkYGRjg,yelp,By far the worst order delivered. No drink and wrong items. Left quickly and no one at hub. Charged me all nuisance fees.,3.0,neutral
570001283907768320,twitter_airline,@USAirways so I get bumped to the 6pm to Birmingham which is now delayed because the pilots scheduled don't have enough hours together. Fail,1.0,negative
